precip_roll_sum_7d,precip_roll_sum_30d,days_since_last_rain,temp_max_24h,soil_moisture_root,social_report_count,social_stress_index,leak_mention_flag,sentiment_polarity,most_common_pain_keyword,population_density,elevation_meters,is_weekend,month_sin,month_cos,location_name,date,lat,lon,risk_index,risk_code,measurement_date,day_in_period
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,8935.011114326106,2515.8,0,0.5,-0.866,Azcapotzalco,2024-05-31,19.4869,-99.1838,3,D2,2024-05-31,0
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,10022.935913281699,2354.8,1,0.0,-1.0,Azcapotzalco,2024-06-01,19.4869,-99.1838,3,D2,2024-05-31,1
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,11583.095074225139,2074.8,1,0.0,-1.0,Azcapotzalco,2024-06-02,19.4869,-99.1838,3,D2,2024-05-31,2
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,12807.694243295879,2416.7,0,0.0,-1.0,Azcapotzalco,2024-06-03,19.4869,-99.1838,3,D2,2024-05-31,3
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,9077.896811316086,2341.7,0,0.0,-1.0,Azcapotzalco,2024-06-04,19.4869,-99.1838,3,D2,2024-05-31,4
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,9639.16436016796,2300.8,0,0.0,-1.0,Azcapotzalco,2024-06-05,19.4869,-99.1838,3,D2,2024-05-31,5
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,9416.733100469348,2097.9,0,0.0,-1.0,Azcapotzalco,2024-06-06,19.4869,-99.1838,3,D2,2024-05-31,6
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,8325.947438495272,2082.7,0,0.0,-1.0,Azcapotzalco,2024-06-07,19.4869,-99.1838,3,D2,2024-05-31,7
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,9159.415884855687,2279.8,1,0.0,-1.0,Azcapotzalco,2024-06-08,19.4869,-99.1838,3,D2,2024-05-31,8
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,14197.177016199734,2162.7,1,0.0,-1.0,Azcapotzalco,2024-06-09,19.4869,-99.1838,3,D2,2024-05-31,9
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,14663.980937967039,2408.4,0,0.0,-1.0,Azcapotzalco,2024-06-10,19.4869,-99.1838,3,D2,2024-05-31,10
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,9090.465830036735,2238.4,0,0.0,-1.0,Azcapotzalco,2024-06-11,19.4869,-99.1838,3,D2,2024-05-31,11
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,12969.882974532775,2153.8,0,0.0,-1.0,Azcapotzalco,2024-06-12,19.4869,-99.1838,3,D2,2024-05-31,12
7.6,39.0,1,11.99,37.0,30,0.78,1,0.01,fuga de agua,12081.243441523571,2378.4,0,0.0,-1.0,Azcapotzalco,2024-06-13,19.4869,-99.1838,3,D2,2024-05-31,13
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,12977.373272340417,2130.9,0,0.0,-1.0,Azcapotzalco,2024-06-14,19.4869,-99.1838,3,D2,2024-05-31,14
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,12329.28186430809,2381.3,1,0.0,-1.0,Azcapotzalco,2024-06-15,19.4869,-99.1838,3,D2,2024-06-15,0
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,12956.564973822338,2056.2,1,0.0,-1.0,Azcapotzalco,2024-06-16,19.4869,-99.1838,3,D2,2024-06-15,1
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,10493.685161649313,2042.0,0,0.0,-1.0,Azcapotzalco,2024-06-17,19.4869,-99.1838,3,D2,2024-06-15,2
7.6,39.0,1,11.99,36.0,30,0.78,1,0.01,fuga de agua,12190.833238303412,2141.2,0,0.0,-1.0,Azcapotzalco,2024-06-18,19.4869,-99.1838,3,D2,2024-06-15,3
7.6,39.0,1,11.99,38.0,30,0.78,1,0.01,fuga de agua,9925.650015341897,2242.8,0,0.0,-1.0,Azcapotzalco,2024-06-19,19.4869,-99.1838,3,D2,2024-06-15,4
7.6,39.0,1,11.99,39.0,30,0.78,1,0.01,fuga de agua,11134.917296786203,2454.0,0,0.0,-1.0,Azcapotzalco,2024-06-20,19.4869,-99.1838,3,D2,2024-06-15,5
7.6,39.0,1,11.99,40.0,30,0.78,1,0.01,fuga de agua,9669.649688753574,2076.9,0,0.0,-1.0,Azcapotzalco,2024-06-21,19.4869,-99.1838,3,D2,2024-06-15,6
7.6,39.0,1,11.99,40.0,30,0.78,1,0.01,fuga de agua,13748.105122036432,2214.7,1,0.0,-1.0,Azcapotzalco,2024-06-22,19.4869,-99.1838,3,D2,2024-06-15,7
7.6,39.0,1,11.99,41.0,30,0.78,1,0.01,fuga de agua,8814.645302107187,2343.7,1,0.0,-1.0,Azcapotzalco,2024-06-23,19.4869,-99.1838,3,D2,2024-06-15,8
7.6,39.0,1,11.99,43.0,30,0.78,1,0.01,fuga de agua,8055.783352560416,2167.9,0,0.0,-1.0,Azcapotzalco,2024-06-24,19.4869,-99.1838,3,D2,2024-06-15,9
7.6,39.0,1,11.99,47.0,30,0.78,1,0.01,fuga de agua,9276.569556524735,2354.8,0,0.0,-1.0,Azcapotzalco,2024-06-25,19.4869,-99.1838,3,D2,2024-06-15,10
7.6,39.0,1,11.99,47.0,30,0.78,1,0.01,fuga de agua,8255.712555986778,2525.8,0,0.0,-1.0,Azcapotzalco,2024-06-26,19.4869,-99.1838,3,D2,2024-06-15,11
7.6,39.0,1,11.99,47.0,30,0.78,1,0.01,fuga de agua,8514.22332725158,2238.3,0,0.0,-1.0,Azcapotzalco,2024-06-27,19.4869,-99.1838,3,D2,2024-06-15,12
7.6,39.0,1,11.99,47.0,30,0.78,1,0.01,fuga de agua,12329.29631891958,2121.0,0,0.0,-1.0,Azcapotzalco,2024-06-28,19.4869,-99.1838,3,D2,2024-06-15,13
7.6,39.0,1,11.99,47.0,30,0.78,1,0.01,fuga de agua,11016.467376052908,2147.4,1,0.0,-1.0,Azcapotzalco,2024-06-29,19.4869,-99.1838,3,D2,2024-06-15,14
7.6,39.0,1,11.99,49.0,30,0.78,1,0.01,fuga de agua,14321.37854684877,2444.7,1,0.0,-1.0,Azcapotzalco,2024-06-30,19.4869,-99.1838,1,D0,2024-06-30,0
7.6,39.0,1,11.99,50.0,30,0.78,1,0.01,fuga de agua,11733.042413161027,2264.8,0,-0.5,-0.866,Azcapotzalco,2024-07-01,19.4869,-99.1838,1,D0,2024-06-30,1
7.6,39.0,1,11.99,50.0,30,0.78,1,0.01,fuga de agua,12058.200910232143,2255.5,0,-0.5,-0.866,Azcapotzalco,2024-07-02,19.4869,-99.1838,1,D0,2024-06-30,2
7.6,39.0,1,11.99,51.0,30,0.78,1,0.01,fuga de agua,14295.700658334847,2233.6,0,-0.5,-0.866,Azcapotzalco,2024-07-03,19.4869,-99.1838,1,D0,2024-06-30,3
7.6,39.0,1,11.99,52.0,30,0.78,1,0.01,fuga de agua,10374.658034353055,2500.7,0,-0.5,-0.866,Azcapotzalco,2024-07-04,19.4869,-99.1838,1,D0,2024-06-30,4
7.6,39.0,1,11.99,52.0,30,0.78,1,0.01,fuga de agua,14829.801980975857,2486.8,0,-0.5,-0.866,Azcapotzalco,2024-07-05,19.4869,-99.1838,1,D0,2024-06-30,5
7.6,39.0,1,11.99,52.0,30,0.78,1,0.01,fuga de agua,8686.034871801541,2308.6,1,-0.5,-0.866,Azcapotzalco,2024-07-06,19.4869,-99.1838,1,D0,2024-06-30,6
7.6,39.0,1,11.99,51.0,30,0.78,1,0.01,fuga de agua,13678.436249870749,2235.5,1,-0.5,-0.866,Azcapotzalco,2024-07-07,19.4869,-99.1838,1,D0,2024-06-30,7
7.6,39.0,1,11.99,51.0,30,0.78,1,0.01,fuga de agua,8924.778492671812,2319.6,0,-0.5,-0.866,Azcapotzalco,2024-07-08,19.4869,-99.1838,1,D0,2024-06-30,8
7.6,39.0,1,11.99,51.0,30,0.78,1,0.01,fuga de agua,9829.80859493538,2165.7,0,-0.5,-0.866,Azcapotzalco,2024-07-09,19.4869,-99.1838,1,D0,2024-06-30,9
7.6,39.0,1,11.99,52.0,30,0.78,1,0.01,fuga de agua,12726.930694898983,2109.1,0,-0.5,-0.866,Azcapotzalco,2024-07-10,19.4869,-99.1838,1,D0,2024-06-30,10
7.6,39.0,1,11.99,54.0,30,0.78,1,0.01,fuga de agua,9161.905434219085,2310.6,0,-0.5,-0.866,Azcapotzalco,2024-07-11,19.4869,-99.1838,1,D0,2024-06-30,11
